id,translatable_id,explanation,locale
253,254,"Dohoda HCM – Dohoda mezi správami Rakouska, Belgie, České republiky, Německa, Francie, Maďarska, Nizozemí, Chorvatska, Itálie, Lichtenštejnska, Litvy, Lucemburska, Polska, Rumunska, Slovenska, Slovinska a Švýcarska o koordinaci kmitočtů mezi 29,7 MHz a 43,5 GHz pro pevnou službu a pozemní pohyblivou službu (HCM Agreement – Agreement between the Administrations of Austria, Belgium, the Czech Republic, Germany, France, Hungary, the Netherlands, Croatia, Italy, Liechtenstein, Lithuania, Luxembourg, Poland, Romania, the Slovak Republic, Slovenia and Switzerland on the co-ordination of frequencies between 29.7 MHz and 43,5 GHz for the fixed service and the land mobile service).",cs
254,255,"Aplikace s velkou hustotou přenosů v pevné službě, anglicky High Density Fixed Service",cs
255,256,"Aplikace s velkou hustotou přenosů v družicové pevné službě, anglicky High Density Fixed Satellite Service. HDFSS systémy jsou charakteristické flexibilním, rychlým a všudypřítomným rozšiřováním velkého množství cenově přístupných pozemských stanic využívajících malé antény a majících obdobné technické parametry. [ITU RESOLUCE 143 (Rev.WRC-07)]",cs
256,257,"Televize s vysokým rozlišením, anglicky High Definition TV. Televize s vysokým rozlišením má oproti standardu vycházejícího z původního analogového vysílání (odpovídá rozlišení 720 × 576 bodů = cca 400 000 pixelů) větší počet obrazových bodů, např. rozlišení 720p má 1280 × 720, rozlišení 1080i má 1920 × 1080 (= cca 2 000 000 pixelů). Písmeno i znamená interlaced, tedy prokládané. Při přenosu jednoho snímku se přenáší jen např. liché řádky, při následujícím snímku sudé. Obrazovka má plný počet řádků. Písmeno p znamená progressed - v každém snímku se obnovují všechny řádky. Se zvoleným rozlišením souvisí počet programových kanálů, které lze umístit do jednoho multiplexu (pozor, nejenom s rozlišením). Při 720×576 a kompresním algoritmu MPEG-2 jich může být až 6. Při vysokém rozlišení a MPEG-4 mohou být 4 nebo také jen 2.

",cs
257,258,"Družicové systémy s vysoce eliptickou oběžnou drahou, anglicky Highly Eliptical Orbit (Pozn. nad 20 tis. km)",cs
258,259,"Družicové terminály s vysokým EIRP, anglicky High e.i.r.p. Satellite Terminals",cs
259,260,"Vysoké kmitočty, anglicky High Frequency. Pozn.: Jako česká zkratka označující stejné vlny se používá KV.",cs
260,261,"Rozhlas na krátkých vlnách, anglicky High Frequency BroadCasting.",cs
261,262,"Koordinační konference pro rozhlas na krátkých vlnách, anglicky High Frequency Coordination Conference. Pozn.: 2 x ročně.",cs
262,263,"NonGSO družicové systémy s vysoce skloněnou oběžnou drahou (výška apogea větší než 18 000 km a sklon orbitální dráhy mezi 35° a 145°), anglicky Highly Inclined Orbits",cs
263,264,"Výkonné místní rádiové sítě, anglicky High Performance Radio Local Area Networks",cs
264,265,"Hromadné rádiové sítě",cs
265,266,"Přenosná stanice, anglicky Handportable Station. Pozn.: Podle ETSI TS 102 490 V1.1.1.",cs
266,267,"Vysokorychlostní (směrem k terminálu) paketový přístup, anglicky High-Speed Downlink Packet Access",cs
267,268,"Vysokorychlostní paketový přístup, anglicky High Speed Packet Access (HSDPA spolu s HSUPA)",cs
268,269,"Vysokorychlostní (směrem od terminálu) paketový přístup, anglicky High-Speed Uplink Packet Access",cs
269,270,"Výška vysílače, anglicky Transmitter Height",cs
270,271,"Mezinárodní asociace správ majáků, anglicky International Association of Lighthouse Authorities",cs
271,272,"Mezinárodní radioamatérský svaz, anglicky International Amateur Radio Union",cs
272,273,"Mezinárodní letecká asociace, anglicky International Air Transport Association",cs
273,274,"Mezinárodní organizace pro civilní letectví, anglicky International Civil Aviation Organisation",cs
274,275,"Informační a komunikační technologie, anglicky Information and Communication Technologies",cs
275,276,"Digitalizovaná mapa světa ITU, anglicky ITU Digitized World Map",cs
276,277,"Mezinárodní elektrotechnická komise, anglicky International Electrotechnical Commission",cs
277,278,"Institut inženýrů elektro a elektroniky, anglicky Institute of Electrical and Electronics Engineers",cs
278,279,"Identifikace přítel nebo nepřítel, anglicky Identification Friend or Foe",cs
279,280,"Mezinárodní kmitočtový seznam, anglicky International Frequency List",cs
280,281,"Oběžník Radiokomunikačního úřadu ITU s informacemi o kmitočtech, anglicky International Frequency Information Circular",cs
281,282,"Mezinárodní hydrografická organizace, anglicky International Hydrographic Organization",cs
282,283,"Systém přístrojového přistávání letadel, anglicky Instrument Landing System",cs
283,284,"Součást systému přístrojového přistávání letadel, anglicky Instrument Landing System – Glide Path",cs
284,285,"Mezinárodní námořní organizace, anglicky International Maritime Organisation",cs
285,286,"Mezinárodní organizace pro družicové mobilní telekomunikace, anglicky International Mobile Satellite Organisation. Pozn.: ČR v této organizaci zastupuje MPO.",cs
286,287,"Rodina systémů pohyblivých komunikací, anglicky International Mobile Telecommunications zahrnující IMT-2000, IMT-Advanced a IMT-2020 [ITU Res. 56-2]. ",cs
287,288,"Systém 4. generace pohyblivých komunikací, anglicky International Mobile Telecommunications-Advanced",cs
288,289,"Systém 3. generace pohyblivých komunikací, anglicky International Mobile Telecommunications-2000. Rádiové rozhraní IMT-2000 je definováno v doporučení ITU-R M.1457.",cs
289,290,"Mezinárodní námořní družicová organizace, anglicky International Maritime Satellite Organisation",cs
290,291,"Mezinárodní telekomunikační družicová organizace, anglicky International Telecommunication Satellite Organisation",cs
291,292,"Mezinárodní organizace pro kosmické komunikace, anglicky International Organisation of Space Communication. Pozn.: ČR v této organizaci zastupuje MPO.",cs
292,293,"Internetový protokol, anglicky Internet Protocol",cs
293,294,"Práva duševního vlastnictví, anglicky Intellectual Property Rights",cs
294,295,"Průmyslové, vědecké a lékařské využití, anglicky Industrial, Scientific and Medical Applications.",cs
295,296,"Mezinárodní organizace pro standardizaci, anglicky International Organization for Standardization",cs
296,297,"Poskytovatel připojení k internetu, anglicky Internet Service Provider",cs
297,298,"Kodex mezinárodní a přístavní bezpečnosti",cs
298,299,"(1) Mezidružicová služba (radiokomunikační), anglicky Inter-Satellite Service
(2) Mezinárodní kosmická stanice, anglicky International Space Station",cs
299,300,"Inteligentní dopravní systémy, anglicky Intelligent Transport Systems",cs
300,301,"Mezinárodní organizace družicových telekomunikací, anglicky International Telecommunication Satellite Organisation. Pozn.: ČR v této organizaci zastupuje MPO.",cs
301,302,"Mezinárodní telekomunikační unie, anglicky International Telecommunication Union",cs
302,303,"Radiokomunikační sektor Mezinárodní telekomunikační unie, anglicky International Telecommunication Union - Radiocommunication",cs
303,304,"Integrovaný záchranný systém",cs
304,305,"Radiotelefonie nebo rozhlas s amplitudovou modulaci s jedním postranním pásmem a potlačenou nosnou vlnou",cs
305,306,"Japonská kosmická agentura",cs
306,307,"Jednotný systém varování a vyrozumění",cs
307,308,"Společná pracovní skupina zřízená jednorázově pro určitý úkol, anglicky Joint Task Group. Zřizována např. během studijních období WRC.",cs
308,309,"Společný taktický informační a distribuční systém, anglicky Joint Tactical Information and Distribution System",cs
309,310,"Kilobity za sekundu, anglicky Kilobits per Second (datová rychlost)",cs
310,311,"Kennedyho kosmické centrum, anglicky Kennedy Space Center",cs
311,312,"Krátké vlny. Pozn.: Jako anglická zkratka označující stejné vlny se používá HF.",cs
312,313,"Místní síť, anglicky Local Area Network",cs
313,314,"Technologie ""naslouchej před provozem"" pro zamezení interferencí, anglicky Listen Before Talk",cs
314,315,"Nízký pracovní cyklus, nízká doba vysílání vzhledem k době pauzy mezi vysíláními, anglicky Low Duty Cycle",cs
315,316,"Nízká oběžná dráha, anglicky Low Earth Orbit. Pozn.: Do 2000 km.",cs
316,317,"Fáze vyslání a zahájení provozu, anglicky Launch and Early Operations Phase. Pozn.: Týká se životního cyklu družice.",cs
317,318,"Družicové terminály s nízkým eirp, anglicky Low E.i.r.p. Satellite Terminals",cs
318,319,"Nízké kmitočty, anglicky Low Frequency. Pozn.: Jako česká zkratka označující stejné vlny se používá DV.",cs
319,320,"Detekce a určování vzdálenosti záblesku, anglicky Light Detection and Ranging",cs
320,321,"Kurzový maják ILS, anglicky Localizer",cs
321,322,"Pozemní pohyblivá služba (radiokomunikační), anglicky Land Mobile Service",cs
322,323,"Družicová pozemní pohyblivá služba (radiokomunikační), anglicky Land Mobile-Satellite Service",cs
323,324,"Přímá viditelnost, anglicky Line of Sight",cs
324,325,"Aktivní lékařské implantáty nízkého výkonu, anglicky Low Power-Active Medical Implant",cs
325,326,"Zařízení s malým výkonem, anglicky Low Power Device",cs
326,327,"Zařízení pro měření hladiny, anglicky Level Probing Radar",cs
327,328,"Pozemní radiolokační stanice, anglicky Radiolocation Land Station",cs
328,329,"Identifikace a sledování na dlouhou vzdálenost, anglicky Long-Range Identification and Tracking",cs
329,330,"Digitální zobrazování na velkých obrazovkách, anglicky Large Screen Digital Imagery.",cs
330,331,"8. verze UMTS, technologie předcházející 4. generaci mobilních komunikací, anglicky Long Term Evolution of the 3GPP radio technology",cs
331,332,"Aplikace sledování polohy typu 2, anglicky Location Tracking Applications Type 2. UWB LT2 systémy jsou provozovány v kmitočtovém rozsahu 3,4 GHz až 4.8 GHz za účelem sledování osob a objektů a další průmyslové aplikace. [ECC Report 167]",cs
332,333,"Letecká stanice, anglicky Aircraft Station",cs
333,334,"Informační a vyhledávácí systém pro námořní pohyblivou službu, anglicky Maritime Mobile Access and Retrieval System",cs
334,335,"Megabity za sekundu, anglicky Megabits per second",cs
335,336,"Megabyty za sekundu, anglicky Megabytes per second",cs
336,337,"Pohyblivé komunikace na palubě letadla, anglicky Mobile Communication on board Aircraft",cs
337,338,"Pohyblivé komunikace na palubě lodi, anglicky Mobile Communication on board Vessel",cs
338,339,"Zemský mobilní multimediální systém, anglicky Terrestrial Mobile Multimedia Multicast-Forward Link Only. Systém vyvinutý firmou Qualcomm Inc., více na www.mediaflo.com.",cs
339,340,"Střední oběžná dráha, anglicky Medium Earth Orbit. Pozn. 2000-20 000 km",cs
340,341,"Pohyblivá pozemská stanice, anglicky Mobile Earth Station",cs
341,342,"Pomocná meteorologická služba (radiokomunikační), anglicky Meteorological Aids Service",cs
342,343,"Družicová meteorologická služba (radiokomunikační), anglicky Meteorological-Satellite Service",cs
343,344,"Střední kmitočty, anglicky Medium Frequency. Pozn.: Jako česká zkratka označující stejné vlny se používá SV.",cs
344,345,"Síť vysílačů využívající více kmitočtů (např. digitální rozhlasová nebo televizní síť), anglicky Multi Frequency Network. Pozn.: Dohoda Ženeva-06, Annex 2, 1.3.14.",cs
345,346,"Multimediální platforma domácnosti, anglicky Multimedia Home Platform; neúspěšná aplikace, obdoba HbbTV. Byla nasazena v Itálii a Polsku nebo Belgii. Využívána byla také ve Finsku, ovšem upustilo se od ní díky malé poptávce a neúspěšnosti celého projektu. Byla také poměrně drahá.",cs
346,347,"Námořní identifikační číslo, anglicky Maritime Identification Digits. Pozn.: Jde o tři čísla z MMSI a reprezentuje území nebo geografickou oblast správy, přiděluje ITU.",cs
347,348,"Multifunkční distribuční systém v letecké dopravě, anglicky Multifunctional Information Distribution System [ECA]",cs
348,349,"Základní mezinárodní kmitočtová kartotéka ITU, anglicky Master International Frequency Register",cs
349,350,"Pozemní pohyblivá stanice, anglicky Land mobile station
Pohyblivý spoj (vysílání pohyblivé stanice), anglicky Mobile Link (Mobile station transmits) [ECA]",cs
350,351,"Vícestranná jednání, anglicky Multilateral Meeting",cs
351,352,"Mikrovlnná přistávací soustava, anglicky Microwave Landing System",cs
352,353,"Mikrovlnné vícebodové distribuční systémy, anglicky Microwave Multipoint Distribution System",cs
353,354,"Námořní pohyblivá služba (radiokomunikační), anglicky Maritime Mobile Service",cs
354,355,"Devítimístné jednoznačné identifikační číslo pro námořní pohyblivou službu, anglicky Maritime Mobile Service Identity. Pozn.: Viz také MID.",cs
355,356,"Družicová námořní pohyblivá služba (radiokomunikační), anglicky Maritime Mobile-Satellite Service",cs
356,357,"Pohyblivá stanice, anglicky Mobile station",cs
357,358,"Muž přes palubu (aplikace v námořní pohyblivé službě), anglicky Man over Board",cs
358,359,"Podle ustanovení 1.115 Plánu přidělení kmitočtových pásem je modulační spoj rádiový spoj z pozemské stanice na daném stanovišti ke kosmické stanici nebo naopak, přenášející informace pro kosmickou radiokomunikační službu jinou než je družicová pevná služba. Toto stanoviště může být v určeném pevném bodě nebo v libovolném pevném bodě uvnitř určených oblastí, např. modulační spoj je v provozován v rámci družicové pevné služby a přenáší signál pro družicovou rozhlasovou službu - družicovou televizi.",cs
359,360,"Dohoda o porozumění, anglicky Memorandum of Understanding",cs
360,361,"Expertní skupina pro pohyblivý obraz, anglicky Moving Pictures Experts Group, která vyvíjí kompresní algoritmy a standardy na kódování audiovizuálních informací.",cs
361,362,"Víceúčelový radar, anglicky Multipurpose Radar",cs
362,363,"Pohyblivá radiolokační stanice, anglicky Radiolocation Mobile Station",cs
363,364,"Námořní radionavigační služba (radiokomunikační), anglicky Maritime Radionavigation Service",cs
364,365,"Družicová námořní radionavigační služba (radiokomunikační), anglicky Maritime Radionavigation-Satellite Service",cs
365,366,"Minimální nadmořská výška pro radarové vektorování v letectví, anglicky Minimum Radar Vectoring Altitude",cs
366,367,"(1) Pohyblivá služba (radiokomunikační), anglicky Mobile Service
(2) Členské státy EU, anglicky Member States
(3) Lodní stanice, anglicky Ship station",cs
367,368,"Minimální sektorová nadmořská výška (v letectví), anglicky Minimum Sector Altitude",cs
368,369,"Námořní bezpečnostní informace, anglicky Maritime Safety Information",cs
369,370,"Minimum-shift keing",cs
370,371,"(1) Družicová pohyblivá služba (radiokomunikační), anglicky Mobile Satellite Service
(2) Družicové pohyblivé služby, anglicky Mobile Satellite Services [ROZHODNUTÍ KOMISE 2007/98/ES)]",cs
371,372,"Maximální použitelný kmitočet, anglicky Maximum Usable Frequency. Pozn.: Týká se KV pásem.",cs
372,373,"Služba distribuce obrazu na více míst, anglicky Multipoint Video Distribution Service",cs
373,374,"Pohyblivý bezdrátový přístup, anglicky Mobile Wireless Access",cs
374,375,"Oblast hlavních světových letových tras, anglicky Major World Air Route Area",cs
375,376,"Bezdrátový systém pro přenos multimédií, anglicky Multimedia Wireless System",cs
377,378,"Národní letecká a kosmická správa, anglicky National Aeronautics and Space Administration (USA)",cs
378,379,"Severoatlantický pakt, anglicky North Atlantic Treaty Organisation",cs
379,380,"1) Navigační textové zprávy, anglicky Navigational Text Messages
2) Úzkopásmový telegrafický systém s přímým tiskem pro předávání navigačních a meteorologických varování a spěšných informací lodím, anglicky Narrow-band direct-printing telegraphy system for transmission of navigational and meteorological warnings and urgent information to ships
",cs
380,381,"Úzkopásmová telegrafie s přímým tiskem, anglicky Narrow Band Direct Printing",cs
381,382,"Nesměrový radiomaják, anglicky Non-Directional Radio Beacon",cs
382,383,"Šumové číslo, anglicky Noise Figure",cs
383,384,"Komunikace blízkým polem, anglicky Near Field Communication. Bezdrátová technologie s krátkým dosahem (4 cm a méně) na kmitočtu 13,56 MHz. Aktivní zařízení vyvolá vysílaným rádiovým polem odezvu pasivního zařízení (visačka, nálepka, karta).",cs
384,385,"Mobilní sítě příští generace, anglicky Next Generation Mobile Networks",cs
385,386,"Společná dohoda civilních a vojenských složek správ členských zemí Severoatlantické aliance, anglicky NATO Joint Civil/Military Frequency Agreement",cs
386,387,"Národní kmitočtová tabulka, viz též PPKP",cs
387,388,"Námořní radionavigační pozemní stanice, anglicky Maritime radionavigation land station",cs
388,389,"Ne v přímé viditelnosti, anglicky Non Line of Sight",cs
389,390,"Analogová technologie mobilních sítí, anglicky Nordic Mobile Telephone",cs
390,391,"1) Národní správa pro oceány a atmosféru, anglicky National Oceanic and Atmospheric Administration
2) Označení polární meteorologické družice, anglicky Polar METSAT",cs
391,392,"Negeostacionární družicová dráha, anglicky Non Geostationary Orbit",cs
392,393,"Radionavigační pohyblivá stanice, anglicky Radionavigation mobile station",cs
393,394,"Standard barevné analogové televize, anglicky National Television Systems Committee, 525 řádků",cs
394,395,"Národní kmitočtová tabulka, anglicky National Table of Frequency Allocations",cs
395,396,"Způsob šíření rádiových vln v KV pásmech, anglicky Near Vertical Incidence Skywave",cs
396,397,"Nomadický (přenosný) bezdrátový přístup, anglicky Nomadic Wireless Access",cs
397,398,"Numerická předpověď počasí, anglicky Numerical Weather Prediction",cs
398,399,"Vysílání z míst mimo studio, anglicky Outside Broadcasting [ECA]",cs
399,400,"Palubní jednotka, anglicky On-Board Unit",cs
400,401,"Oceánografická datová stanice, anglicky Oceanographic Data Station",cs
401,402,"Určování a charakterizace předmětů, anglicky Object Discrimination and Characterization",cs
402,403,"Oceánograficka datová kontrolní stanice, anglicky Oceanographic data interrogation station",cs
403,404,"Modulační technika pracující s rozprostřeným spektrem - ortogonální multiplex s kmitočtovým dělením, anglicky Orthogonal Frequency Division Multiplexing",cs
404,405,"Vícenásobný přístup s kmitočtovým a ortogonálním rozlišením, anglicky Orthogonal Frequency Division Multiple Access",cs
405,406,"Mezinárodní rozhlasová a televizní organizace, francouzsky Organisation Internationale de Radiodiffusion et de Télévision, anglicky The International Radio and Television Organisation. Pozn.: 1. 1. 1993 sloučena s EBU.",cs
406,407,"Mimo pásmo, anglicky Out-of-Band",cs
407,408,"Podle ustanovení 1.34 a 1.37 Plánu přidělení kmitočtových pásem znamená označení (OR) u letecké pohyblivé služby nebo družicové letecké pohyblivé služby komunikace týkající se letové koordinace především mimo národní a mezinárodní letové cesty; anglicky Off Route. Pozn.: Opakem je (R).",cs
408,409,"Jednání operátorů družicových služeb v pásmu 1,6 GHz, anglicky Operator Review Meetings",cs
409,410,"Optické bezdrátové komunikace, anglicky Optical Wireless ",cs
410,411,"Bod-více bodů, anglicky Point-to-Multipoint",cs
411,412,"1) Bod-bod, anglicky Point-to-Point
2) Špička - špička (signálu), anglicky Peak-to-Peak",cs
412,413,"Datový tok související s vysílaným programem, anglicky Programme Associated Data",cs
413,414,"Standard barevné analogové televize, anglicky Phase Alternate Line (Colour TV standard), 625 řádků",cs
414,415,"Síť PMR s přístupovým bodem do veřejné sítě, anglicky Public Access Mobile Radio",cs
415,416,"Přesný přibližovací radar, anglicky Precision Approach Radar
Pásmo, kmitočtové pásmo. Kmitočtové pásmo je rozsah kmitočtů, který je uveden v Plánu přidělení kmitočtových pásem a přidělen radiokomunikačním službám, nebo rozsah kmitočtů větší, zahrnující minimálně jedno kmitočtové pásmo podle PPKP. Komentář: menší rozsah kmitočtů než příslušné kmitočtové pásmo v PPKP je označován pojmem úsek.",cs
416,417,"Pulsně kódová modulace, anglicky Pulse Code Modulation",cs
417,418,"Osobní komunikační síť, anglicky Personal Communication Network",cs
418,419,"Předurčený oblouk na geostacionární dráze, anglicky PreDetermined Arc",cs
419,420,"Nejbližší bod oběžné dráhy družice",cs
420,421,"Hustota výkonového toku, anglicky Power Flux Density",cs
421,422,"Pseudolity (Pseudo satelity) jsou na zemi umístěné rádiové vysílače, které vysílají navigační signály obdobně jako družicová radionavigace. Jejich účelem je doplňovat družicovou radionavigaci a vysílají ve stejných kmitočtových pásmech 1164-1215 MHz, 1215-1300 MHz a 1559-1610 MHz jako družicové systémy.",cs
422,423,"Osobní lokalizační maják, anglicky Personal Locator Beacon",cs
423,424,"Komunikace po energetické síti, anglicky Powerline Communications",cs
424,425,"Fázová modulace, anglicky Phase Modulation",cs
425,426,"Soukromé nebo firemní pohyblivé rádiové sítě a spoje, anglicky Professional Mobile Radio/Private Mobile Radio",cs
426,427,"Služby spojené s programem a zvláštními událostmi (hudební vystoupení, veřejná shromáždění), anglicky Programme Making and Special Events services",cs
427,428,"ITU konference vládních zmocněnců, ITU Plenipotentiary Conference",cs
428,429,"Ochrana veřejnosti a krizové komunikace, anglicky Public Protection and Disaster Relief",cs
429,430,"Plán přidělení kmitočtových pásem, viz též NKT",cs
430,431,"Přesná prostorová navigace (v letectví), anglicky Precision Area Navigation",cs
431,432,"Klíčování fázovým posunem, anglicky Phase Shift Keying",cs
432,433,"Primární přehledový radar, anglicky Primary Surveillance Radar",cs
433,434,"Projektový tým v rámci struktur CEPT, anglicky Project Team",cs
434,435,"Plán využití rádiového spektra (více)",cs
435,436,"Plošný firemní paging, andlicky Private Wide Area Paging [ECA]",cs
436,437,"Systémy profesionálních bezdrátových mikrofonů, anglicky Professional Wireless Microphone Systems",cs
437,438,"Čtyřstavová amplitudová modulace, anglicky Quadrature Amplitude Modulation",cs
438,439,"Parametr vyjadřující kvalitu služby, anglicky Quality of Service",cs
439,440,"Čtyřstavová modulace klíčování fázovým posunem, anglicky Quadrature Phase Shift Keying",cs
440,441,"Podle ustanovení 1.33 a 1.36 Plánu přidělení kmitočtových pásem znamená označení (R) u letecké pohyblivé služby nebo družicové letecké pohyblivé služby komunikace týkající se bezpečnosti a pravidelnosti letu především na národních a mezinárodních letových cestách. R = route. Pozn.: Opakem je (OR).",cs
441,442,"(1) Radiokomunikační shromáždění ITU, anglicky Radiocommunication Assembly
(2) Radioastronomie, anglicky Radio Astronomy [ECA]
(3) Radarový výškoměr, anglicky Radar Altimeter",cs
442,443,"Radiotelefonie nebo rozhlas s amplitudovou modulaci s redukovanou nosnou vlnou",cs
443,444,"Radarový maják, anglicky Radio Beacon",cs
444,445,"Poradní skupina radiokomunikací ITU-R, anglicky Radiocommunication Advisory Group",cs
445,446,"Radioastronomická služba, anglicky Radio Astronomy Service. Viz též CRAF.",cs
446,447,"Námořní záchranné a koordinační středisko, anglicky Rescue Coordination Center
Regionální společenství na poli komunikací, anglicky Regional Commonwealth in the Field of Communications. Pozn.: Zahrnuje některé státy bývalého Sovětského svazu.",cs
447,448,"Oblast regionálních a národních letových tras, anglicky Regional And Domestic Air Route Area. [Dodatek 27 Řádu]",cs
448,449,"1) Služba rádiového určování, anglicky Radiodetermination Service
2) Datová služba poskytovaná VKV rozhlasem (cca 730 bit/s), anglicky Radio Data Service nebo Radio Data System",cs
449,450,"Družicová služba rádiového určování, anglicky Radiodetermination-Satellite Service",cs
450,451,"Doporučení (druh dokumentu), anglicky Recommendation",cs
451,452,"Zpráva (druh dokumentu), anglicky report",cs
452,453,"Rezoluce (druh dokumentu), anglicky Resolution",cs
453,454,"Rádiová frekvence, anglicky Radio Frequency [Rec. ITU-R M.1371-3]",cs
454,455,"Rádiové identifikační zařízení, anglicky Radio Frequency Identification Device",cs
455,456,"Systém říčních informačních služeb, anglicky River Information System",cs
456,457,"Výbor pro slučitelnost a bezpečnost na železnici, anglicky Railway Interoperability and Safety Committee",cs
457,458,"Rádiová lokální síť, anglicky Radio Local Area Network",cs
458,459,"Radiolokační služba, anglicky Radiolocation Service",cs
459,460,"Družicová radiolokační služba, anglicky Radiolocation-Satellite Service",cs
460,461,"Námořní radionavigační pohyblivá stanice, anglicky Maritime radionavigation mobile station",cs
461,462,"Radionavigační pozemní stanice, anglicky Radionavigation land station",cs
462,463,"Prostorová navigace (v letectví), anglicky Area Navigation",cs
463,464,"Radionavigační služba (radiokomunikační), anglicky RadioNavigation Service",cs
464,465,"Družicová radionavigační služba (radiokomunikační), anglicky RadioNavigation Satellite Service",cs
465,466,"Omezený průkaz operátora, anglicky Restricted Operator's Certificate",cs
466,467,"Zemské, pouze přijímací stanice v družicových komunikacích, anglicky Receive Only Earth Stations",cs
467,468,"Jednací řád, anglicky Rules of Procedure",cs
468,469,"Dálkově pilotované letadlo, anglicky Remotely Piloted Aircraft",cs
469,470,"Dálkové pilotní středisko (UAV), anglicky Remote Piloting Centre",cs
470,471,"rr = rádio reléové spoje, RR = Radiokomunikační řád, anglicky Radio Regulations [Rec. ITU-R M.1371-3]",cs
471,472,"Výbor pro radiokomunikační řád ITU-R, anglicky Radio Regulations Board",cs
472,473,"Radiolokační systém navigace na krátkou vzdálenost, anglicky Radiolocation System for Short Range Navigation, rusky Radiolokacijnaja Sistěma Bližševo Naveděnija",cs
473,474,"Výbor Evropské komise pro rádiové spektrum, anglicky Radio Spectrum Committee",cs
474,475,"Přístroj pro měření rychlosti, anglicky Radio Speed Meter [ECC Rep 134]",cs
475,476,"Radarový detekční a měřící systémy, anglicky Radar Sensing and Measurement System",cs
476,477,"Radarový odpovídač, anglicky Responder Beacon",cs
477,478,"Skupina pro politiku rádiového spektra, pomocný orgán Evropské komise, anglicky Radio Spectrum Policy Group",cs
478,479,"Traťový přehledový radar, anglicky en-Route Surveillance Radar",cs
479,480,"Indikace intenzity přijímaného signálu, anglicky Received Signal Strength Indication",cs
480,481,"Silniční zařízení, anglicky Road Side Unit",cs
481,482,"Radiotechnická komise pro letectví, anglicky Radio Technical Commission for Aeronautics",cs
482,483,"Koncové rádiové a telekomunikační zařízení, anglicky Radio&Telecommunications Terminal Equipment",cs
483,484,"Telematika v silniční dopravě a silničním provozu, anglicky Road Transport and Traffic Telematics",cs
484,485,"Přijímač, anglicky Receiver [Rec. ITU-R M.1371-3]",cs
485,486,"Meteorologická pomocná pohyblivá stanice, anglicky Meteorological aids mobile station",cs
486,487,"Detekce a vyhnutí (u bezpilotních letounů UAV), anglicky Sense and Avoid",cs
487,488,"Pomocné aplikace pro tvorbu rozhlasového a televizního vysílání, anglicky Service Ancillary for Broadcasting",cs
488,489,"Pomocné aplikace pro tvorbu rozhlasového a televizního vysílání nebo pro tvorbu programu, anglicky Service Ancillary for Broadcasting/Service Ancillary for Program. Pozn.: SAB - jen příprava TV programu a TV vysílání, zahrnuje i ENG/OB. SAP - divadlo, koncerty pop music, sport, a další.",cs
489,490,"Pomocné aplikace pro tvorbu programu, anglicky Service Ancillary for Program",cs
490,491,"1) Pátrání a záchrana, anglicky Search and Rescue
2) Radar se syntetickou aperturou, anglicky Synthetic Aperture Radar",cs
491,492,"Standardní a doporučené postupy, anglicky Standards And Recommended Practices",cs
492,493,"Družicové navádění pro pátrání a záchranu, anglicky Search and Rescue Satellite Aided Tracking (viz COSPAS)",cs
493,494,"Radarová odpovídací zařízení pro účely pátrání a záchrany, anglicky Search and Rescue Transponder",cs
494,495,"Družicová komunikace, anglicky Satellite Communications",cs
495,496,"Systém se satelitním rozšířením, anglicky Satellite Based Augmentation System",cs
496,497,"anglicky Surface-Based Radar",cs
497,498,"Zvláštní výbor ITU-R pro záležitostí regulační a postupů (v rámci přípravy na CPM a WRC), anglicky Special Committee on regulatory/procedural matters",cs
498,499,"Družicový digitální rozhlas, anglicky Satellite Digital Audio Broadcasting",cs
499,500,"1) Systém družicového rozhlasového vysílání, anglicky Satellite Digital Radio
2) Rádiové zařízení se softwarově řízenými parametry, anglicky Software Defined Radio",cs
500,501,"Sestupný směr, anglicky Space-to-Earth direction",cs
501,502,"Standard barevné analogové televize, francouzsky Séquentiel Couleur á Mémoire",cs
502,503,"Jednotné evropské nebe, anglicky Single European Sky. Týká se řízení letového provozu.",cs
503,504,"Výzkumný program pro jednotné evropské řízení letového provozu, anglicky Single European Sky ATM Research Programme",cs
504,505,"Skupina pro koordinaci kmitočtů ve vesmíru, anglicky Space Frequency Coordination Group. ITU-R uznaný koordinační orgán pro kosmické vědecké služby, zal. 1979, členy jsou národní kosmické agentury některých st.",cs
505,506,"Síť synchronizovaných vysílačů vysílajících identický signál na stejném kmitočtu (např. digitální rozhlasová nebo televizní síť), anglicky Single Frequency Network [Dohoda Ženeva-06, Annex 2, 1.3.15]",cs
506,507,"Studijní skupina ITU-R, anglicky Study Group",cs
507,508,"Řídící skupina pro koordinaci rádiových kmitočtů, anglicky Steering Group on Radio Frequency Coordination",cs
508,509,"Poměr signálu k rušení a šumu, anglicky Signal to Interference and Noise Ratio",cs
509,510,"Družicový interaktivní terminál, anglicky Satellite Interactive Terminal",cs
510,511,"Super vysoké kmitočty, anglicky Super High Frequency. Pozn.: Jako česká zkratka označující stejné vlny se používá SKV.",cs
511,512,"Super krátké vlny. Pozn.: Jako anglická zkratka označující stejné vlny se používá SHF.",cs
512,513,"Meteorologická pomocná pozemní stanice, anglicky Meteorological aids land station",cs
513,514,"Znečištění a koncentrace soli v oceánech, anglicky Soil Moisture and Ocean Salinity",cs
